PsaStationNumber,PsaStationName,PnaStation,PssStation,LogicalDisplayReference,RegionOfInterest,ScheduleDataFlag,ExModelRetentionFlag,DmsTransformFlag,AssetLabel,DistrictNumberRef,
472,SAN_ANTONIO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5631,35,
473,MWD_SAN_DIMA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,1040,35,
475,CUCAMONGA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5677,35,
476,CLAREMONT,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5695,35,
477,PADUA_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,35,
478,PADUA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5060,35,
479,LAYFAIR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5645,35,
483,PARDEE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5050,39,
484,PROCGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5516,39,
485,SAN_MIGUEL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5577,39,
486,SATICOY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5534,39,
487,SHELLSOM,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5554,39,
488,SOMIS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5536,39,
489,TAYSHELL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8502,39,
490,THREE_M,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8555,39,
491,UNIOIL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5521,39,
492,WILLAMETTE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5543,39,
493,OJAI,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5526,39,
494,ORMOND_BEACH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5049,39,
495,WAKEFIELD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5579,39,
496,CAMARILLO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5517,39,
497,MISSILE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5401,39,
498,SANTA_CL_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,39,
499,CASITAS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5504,39,
500,CHANNEL_ISLANDS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5506,39,
501,CHARMIN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5535,39,
502,COLONIA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5505,39,
503,MANDALAY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5048,39,
504,GETTY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8503,39,
505,GONZALES,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5587,39,
506,LEHMAN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5371,39,
507,OXGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5509,39,
508,LEVY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5552,39,
509,ESTERO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5563,39,
510,SANTA_CLARA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5053,39,
538,CAMGEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5595,39,
575,GARFIELD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5121,29,
577,WABASH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5110,29,
578,RAMONA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5138,29,
621,FINANCE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,8825,37,
622,DALTON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5188,37,
623,AMADOR,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5161,37,
624,JOSE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5152,37,
625,ARCADIA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5106,37,
626,BRADBURY,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5171,37,
627,HOPEFUL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5901,37,
628,LARK_ELLEN,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5192,37,
629,LIQUID,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5113,37,
630,RIO_HONDO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5013,37,
632,ANITA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5105,37,
633,BREW,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5119,37,
634,AEROJET,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5148,37,
635,AZUSA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5181,37,
636,CITRUS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5185,37,
637,RIO_HOND_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,37,
640,NEWMARK,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5136,29,
641,REPETTO,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5164,29,
642,ROSEMEAD,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5141,29,
643,RUSH,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5116,29,
644,SAN_GABRIEL,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5142,29,
645,EATON,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5115,29,
646,MESA_TAP,Yes,Yes,NULL,Inside,Yes,NULL,Yes,NULL,29,
647,MESA,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5012,29,
648,RAVNDALE,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5179,29,
649,NARROWS,Yes,Yes,NULL,Inside,Yes,NULL,Yes,5838,29,
