DeviceName,ShuntGroupName,PhaseCode,ConnectedNode1,NormalCount,OptControl,FeederVoltageControlEnabled,MinimumRegulatorVoltage,MaximumRegulatorVoltage,KvarRating,ShuntTypeName,ServiceScheduleName,SubstationName,FeederName,AORRefName
STADLER CAP 2_2632,EMS,ABC,en_3493601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
STADLER CAP 3_2633,EMS,ABC,en_3493602_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
STADLER CAP 4_2634,EMS,ABC,en_3493603_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
MORAGA CAP 2A_PSS_2658,EMS,ABC,en_3500112_SH,1,N,NULL,NULL,NULL,4500,33.0KV_4500,Fall-InSvcSchedule,,NULL,All
MORAGA CAP 2B_PSS_2659,EMS,ABC,en_3500113_SH,1,N,NULL,NULL,NULL,4500,33.0KV_4500,Fall-InSvcSchedule,,NULL,All
BASSETT CAP 3_3001,EMS,ABC,en_3402601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
BASSETT CAP 1_3002,EMS,ABC,en_3402602_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
BASSETT CAP 2_3003,EMS,ABC,en_3402603_SH,1,N,NULL,NULL,NULL,4500,12.0KV_4500,Fall-InSvcSchedule,,NULL,All
PROCTOR CAP 1_3070,EMS,ABC,en_3422601_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
NELSON CAP 1_3090,EMS,ABC,en_3439601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
NELSON CAP 3_3091,EMS,ABC,en_3439603_SH,1,N,NULL,NULL,NULL,4950,12.0KV_4950,Fall-InSvcSchedule,,NULL,All
HEMET CAP 3_3094,EMS,ABC,en_3441132_SH,1,N,NULL,NULL,NULL,3150,12.0KV_3150,Fall-InSvcSchedule,,NULL,All
ATWOOD CAP 1_3110,EMS,ABC,en_3463601_SH,1,N,NULL,NULL,NULL,5100,12.0KV_5100,Fall-InSvcSchedule,,NULL,All
CAJALCO CAP 3_3118,EMS,ABC,en_3465601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
CAJALCO CAP 1_3119,EMS,ABC,en_3465603_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
LA VETA CAP 1_3133,EMS,ABC,en_3475611_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
LA VETA CAP 2_3134,EMS,ABC,en_3475621_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
ORANGE CAP 1_3135,EMS,ABC,en_3479604_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
ORANGE CAP 2_3136,EMS,ABC,en_3479605_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
IVYGLEN CAP 1_3141,EMS,ABC,en_3474601_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
IVYGLEN CAP 2_3142,EMS,ABC,en_3474603_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
PLACENTIA CAP 1_3143,EMS,ABC,en_3480600_SH,1,N,NULL,NULL,NULL,3000,12.0KV_3000,Fall-InSvcSchedule,,NULL,All
PLACENTIA CAP 2_3144,EMS,ABC,en_3480602_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
WASHINGTON CAP 1_3151,EMS,ABC,en_3487600_SH,1,N,NULL,NULL,NULL,6000,12.0KV_6000,Fall-InSvcSchedule,,NULL,All
MORAGA CAP 3_3165,EMS,ABC,en_3497609_SH,1,N,NULL,NULL,NULL,4800,12.0KV_4800,Fall-InSvcSchedule,,NULL,All
