DeviceName,TransformerGroupName,PhaseCode,ConnectedNode1,ConnectedNode2,AlarmEnabled,SuppressActAlm,SuppressHisAlm,Remark,PrimaryNormalTap,SecondaryNormalTap,PrimaryOptControl,SecondaryOptControl,PrimaryFeederVoltageControl,SecondaryFeederVoltageControl,MinimumRegulatorVoltage,MaximumRegulatorVoltage,PrimaryEarthResistance,SecondaryEarthResistance,PrimaryEarthImpedance,SecondaryEarthImpedance,AutomaticRegulator,AutomaticRegulatorC,AutomaticRegulatorMove,AutomaticRegulatorM,TransformerTypeName,DeviceLimitName,SubstationName,FeederName,AORRefName,VoltageLimitName
UNIVERSITY NO.1 BANK_1177,EMS,ABC,en_656102,en_1848901_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,UNIVERSITY,NULL,All,NULL
GISLER NO.1W BANK_1206,EMS,ABC,en_71139,en_1504900,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,GISLER,NULL,All,NULL
GISLER NO.1E BANK_1207,EMS,ABC,en_71144,en_1504903,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,GISLER,NULL,All,NULL
GISLER NO.3W BANK_1208,EMS,ABC,en_71142,en_1504901,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,GISLER,NULL,All,NULL
GISLER NO.3E BANK_1209,EMS,ABC,en_71143,en_1504902,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,GISLER,NULL,All,NULL
CROWN NO.1 BANK_1277,EMS,ABC,en_647001,en_1537006_S,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CROWN,NULL,All,NULL
CROWN NO.2N BANK_1278,EMS,ABC,en_647650,en_1537701,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CROWN,NULL,All,NULL
CROWN NO.2S BANK_1279,EMS,ABC,en_647603,en_1537702,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,CROWN,NULL,All,NULL
MOULTON NO.3E BANK_1343,EMS,ABC,en_653116,en_4202137,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,MOULTON,NULL,All,NULL
MOULTON NO.3W BANK_1344,EMS,ABC,en_653117,en_4202138,N,Y,Y,NULL,0,0,N,N,NULL,NULL,0,0,0,0,0,0,N,NULL,NULL,NULL,CAJALCO NO.1N BANK:TYPE,CAJALCO NO.1N:LMT,MOULTON,NULL,All,NULL
