AssetID,GroupName,Description,SerialNumber,High_Node,Low_Node,VendorTypeName,SetOrder,ComponentAlias,PhaseCode,Propagate_Non_Point_Value,Real_Initial_Value,Integer_Initial_Value,ComponentTypeName,StringValue,SubDeviceAssetID,StatusPointNumber,AnalogPointNumber,AccumPointNumber,RaiseLwPointNumber,CmePointNumber,StationNameRef,AccessZone,AccessArea,GroupNamePrimary,GroupNameSecondary,AORName
JUNEAU CB:6651,DMS,NULL,NULL,en_239106,en_239107,SWITCH,1!2!3!4!5!6,Switch_Position!Real_Power!Reactive_Power!Current!Current!Current,ABC!ABC!ABC!A!B!C,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,SW_POS!POWER_P!POWER_Q!CURRENT!CURRENT!CURRENT,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,173511!NULL!NULL!NULL!NULL!NULL,NULL!106372!118513!118509!118510!118511,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
MENLO CB:6656,DMS,NULL,NULL,en_239117,en_239118,SWITCH,1!2!3!4!5!6,Switch_Position!Real_Power!Reactive_Power!Current!Current!Current,ABC!ABC!ABC!A!B!C,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,SW_POS!POWER_P!POWER_Q!CURRENT!CURRENT!CURRENT,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,173561!NULL!NULL!NULL!NULL!NULL,NULL!108572!118551!118547!118548!118549,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
N1 BK 4K CB:6648,DMS,NULL,NULL,en_239100,en_239101,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173324,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
N3 CAP DS:6645,DMS,NULL,NULL,en_239999,en_239900,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173925,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
N3BK E LS CB:6602,DMS,NULL,NULL,en_238147,en_238148,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173303,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
N3BK W LS CB:6599,DMS,NULL,NULL,en_238145,en_238146,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173304,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
N4 CAP DS:6646,DMS,NULL,NULL,en_239200,en_239902,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173923,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
N4BK LS E CB:6560,DMS,NULL,NULL,en_238119,en_238120,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173282,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
N4BK LS W CB:6557,DMS,NULL,NULL,en_238117,en_238118,SWITCH,1,Switch_Position,ABC,NULL,NULL,NULL,SW_POS,NULL,NULL,173283,NULL,NULL,NULL,NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
OCTANE E CB:6584,DMS,NULL,NULL,en_238135,en_238136,SWITCH,1!2!3!4!5!6,Switch_Position!Real_Power!Reactive_Power!Current!Current!Current,ABC!ABC!ABC!A!B!C,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,SW_POS!POWER_P!POWER_Q!CURRENT!CURRENT!CURRENT,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,173428!NULL!NULL!NULL!NULL!NULL,NULL!106370!118462!118458!118459!118460,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,NULL!NULL!NULL!NULL!NULL!NULL,YUKON SAS,GCC,HINSON,NULL,NULL,All
