ENTRYNUMBER,OBJECTNAME                         ,OBJECTTYPE        ,SERVERCONTROLCENTERREF,DOMAINNAMEREF,DATASETNAMEREF,STATUSPOINTREF,ANALOGPOINTREF,ACCUMPOINTREF,CMEPOINTREF,INTERPRETA,MAN,VCCACCESSSETREF,SEQ
23330,DMS_CAROLINA_NO1_CAPS_LO_RSET      ,StateQ            ,1,             ,15,178471,              ,             ,           ,          ,   ,               ,
23319,DMS_CAROLINA_NO2_BK_KV_BC          ,RealQ             ,1,             ,15,              ,120618,             ,           ,          ,   ,               ,
23320,DMS_CAROLINA_NO2_BK_MVAR           ,RealQ             ,1,             ,15,              ,120616,             ,           ,          ,   ,               ,
23321,DMS_CAROLINA_NO2_BK_MW             ,RealQ             ,1,             ,15,              ,120615,             ,           ,          ,   ,               ,
23331,DMS_CAROLINA_NO2_CAPS_CONT         ,StateQ            ,1,             ,15,178480,              ,             ,           ,          ,   ,               ,
23322,DMS_CAROLINA_NO2_CAPS_KV           ,RealQ             ,1,             ,15,              ,120632,             ,           ,          ,   ,               ,
23332,DMS_CAROLINA_NO2_CAPS_LO_RSET      ,StateQ            ,1,             ,15,178479,              ,             ,           ,          ,   ,               ,
23333,DMS_CAROLINA_NO2_CAPS_SW           ,StateQ            ,1,             ,15,178478,              ,             ,           ,          ,   ,               ,
23323,DMS_CAROLINA_OKLAHOMA_MVAR         ,RealQ             ,1,             ,15,              ,120673,             ,           ,          ,   ,               ,
23324,DMS_CAROLINA_RHODE_ISLAN_MVAR      ,RealQ             ,1,             ,15,              ,120637,             ,           ,          ,   ,               ,
23325,DMS_CAROLINA_VERMONT_MVAR          ,RealQ             ,1,             ,15,              ,120688,             ,           ,          ,   ,               ,
23326,DMS_CAROLINA_WISCONSIN_MVAR        ,RealQ             ,1,             ,15,              ,120683,             ,           ,          ,   ,               ,
23327,DMS_CAROLINA_WYOMING_MVAR          ,RealQ             ,1,             ,15,              ,120663,             ,           ,          ,   ,               ,
23273,DMS_CENTER_BLANKET_MVAR            ,RealQ             ,1,             ,15,              ,138750,             ,           ,          ,   ,               ,
23274,DMS_CENTER_BOXER_MVAR              ,RealQ             ,1,             ,15,              ,138745,             ,           ,          ,   ,               ,
23275,DMS_CENTER_BUFFALO_MVAR            ,RealQ             ,1,             ,15,              ,138735,             ,           ,          ,   ,               ,
23276,DMS_CENTER_CRUSADE_MVAR            ,RealQ             ,1,             ,15,              ,138730,             ,           ,          ,   ,               ,
23277,DMS_CENTER_DECOY_MVAR              ,RealQ             ,1,             ,15,              ,138760,             ,           ,          ,   ,               ,
23278,DMS_CENTER_HARD_HAT_MVAR           ,RealQ             ,1,             ,15,              ,138740,             ,           ,          ,   ,               ,
23296,DMS_CENTER_NO1_CAPS_CONT           ,StateQ            ,1,             ,15,142768,              ,             ,           ,          ,   ,               ,
23285,DMS_CENTER_NO1_CAPS_KV             ,RealQ             ,1,             ,15,              ,138711,             ,           ,          ,   ,               ,
23297,DMS_CENTER_NO1_CAPS_LO_RSET        ,StateQ            ,1,             ,15,142767,              ,             ,           ,          ,   ,               ,
