ObjectName,ObjectType,InterpretationTable,SeqOfEvents,ServerControlCenterRef,DomainNameRef,DataSetNameRef,StatusPointRef,AnalogPointRef,AccumPointRef,CmePointRef,ClientControlCenterRef,
DMS_ALHAMB_TEST_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128582,NULL,NULL,NULL,
DMS_ALHAMB_TRIUMPH_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,218947,NULL,NULL,NULL,
DMS_ALHAMB_TRI_CITY_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,128577,NULL,NULL,NULL,
DMS_ALON_12KV_BUS_VOLT,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111690,NULL,NULL,NULL,
DMS_ALON_CATALYTIC_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111717,NULL,NULL,NULL,
DMS_ALON_EDGAR_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111701,NULL,NULL,NULL,
DMS_ALON_HANCOCK_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111747,NULL,NULL,NULL,
DMS_ALON_MIGUEL_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111712,NULL,NULL,NULL,
DMS_ALON_MILLPOINT_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111737,NULL,NULL,NULL,
DMS_ALON_NO1_BK_KV_BC,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111658,NULL,NULL,NULL,
DMS_ALON_NO1_BK_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111656,NULL,NULL,NULL,
DMS_ALON_NO1_BK_MW,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111655,NULL,NULL,NULL,
DMS_ALON_NO1_CAPS_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,130552,NULL,NULL,NULL,NULL,
DMS_ALON_NO1_CAPS_CONT,StateQ,NULL,NULL,SCEOIS,NULL,NULL,130554,NULL,NULL,NULL,NULL,
DMS_ALON_NO1_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,130553,NULL,NULL,NULL,NULL,
DMS_ALON_NO2_BK_KV_BC,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111669,NULL,NULL,NULL,
DMS_ALON_NO2_BK_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111667,NULL,NULL,NULL,
DMS_ALON_NO2_BK_MW,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111666,NULL,NULL,NULL,
DMS_ALON_SHELLDOM_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111722,NULL,NULL,NULL,
DMS_ALON_STOCCO_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111727,NULL,NULL,NULL,
DMS_ALON_WEISER_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111742,NULL,NULL,NULL,
DMS_ALON_WILMINGTON_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,111732,NULL,NULL,NULL,
DMS_AMADOR_BASYE_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139499,NULL,NULL,NULL,NULL,
DMS_AMADOR_BASYE_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137226,NULL,NULL,NULL,
DMS_AMADOR_BASYE_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139500,NULL,NULL,NULL,NULL,
DMS_AMADOR_BROOKS_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139549,NULL,NULL,NULL,NULL,
DMS_AMADOR_BROOKS_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137260,NULL,NULL,NULL,
DMS_AMADOR_BROOKS_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139550,NULL,NULL,NULL,NULL,
DMS_AMADOR_BRYCE_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139424,NULL,NULL,NULL,NULL,
DMS_AMADOR_BRYCE_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137174,NULL,NULL,NULL,
DMS_AMADOR_BRYCE_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137177,NULL,NULL,NULL,
DMS_AMADOR_BRYCE_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139425,NULL,NULL,NULL,NULL,
DMS_AMADOR_DAROCA_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139410,NULL,NULL,NULL,NULL,
DMS_AMADOR_DAROCA_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137164,NULL,NULL,NULL,
DMS_AMADOR_DAROCA_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137167,NULL,NULL,NULL,
DMS_AMADOR_DAROCA_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139411,NULL,NULL,NULL,NULL,
DMS_AMADOR_ENLOE_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139431,NULL,NULL,NULL,NULL,
DMS_AMADOR_ENLOE_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137179,NULL,NULL,NULL,
DMS_AMADOR_ENLOE_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137182,NULL,NULL,NULL,
DMS_AMADOR_ENLOE_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139432,NULL,NULL,NULL,NULL,
DMS_AMADOR_EXLN_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139455,NULL,NULL,NULL,NULL,
DMS_AMADOR_EXLN_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137195,NULL,NULL,NULL,
DMS_AMADOR_EXLN_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137198,NULL,NULL,NULL,
DMS_AMADOR_EXLN_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139456,NULL,NULL,NULL,NULL,
DMS_AMADOR_GARDEA_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139462,NULL,NULL,NULL,NULL,
DMS_AMADOR_GARDEA_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137200,NULL,NULL,NULL,
DMS_AMADOR_GARDEA_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137203,NULL,NULL,NULL,
DMS_AMADOR_GARDEA_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139463,NULL,NULL,NULL,NULL,
DMS_AMADOR_NO3_BK_KV_BC,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137119,NULL,NULL,NULL,
DMS_AMADOR_NO3_BK_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137117,NULL,NULL,NULL,
DMS_AMADOR_NO3_BK_MW,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137116,NULL,NULL,NULL,
DMS_AMADOR_NO3_CAPS_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139378,NULL,NULL,NULL,NULL,
DMS_AMADOR_NO3_CAPS_CONT,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139380,NULL,NULL,NULL,NULL,
DMS_AMADOR_NO3_CAPS_KV,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137150,NULL,NULL,NULL,
DMS_AMADOR_NO3_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139379,NULL,NULL,NULL,NULL,
DMS_AMADOR_NO4_BK_KV_BC,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137107,NULL,NULL,NULL,
DMS_AMADOR_NO4_BK_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137105,NULL,NULL,NULL,
DMS_AMADOR_NO4_BK_MW,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137104,NULL,NULL,NULL,
DMS_AMADOR_NO4_CAPS_CONT,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139388,NULL,NULL,NULL,NULL,
DMS_AMADOR_NO4_CAPS_KV,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137154,NULL,NULL,NULL,
DMS_AMADOR_NO4_CAPS_LO_RSET,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139387,NULL,NULL,NULL,NULL,
DMS_AMADOR_NO4_CAPS_SW,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139386,NULL,NULL,NULL,NULL,
DMS_AMADOR_ROSEGLEN_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139417,NULL,NULL,NULL,NULL,
DMS_AMADOR_ROSEGLEN_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137169,NULL,NULL,NULL,
DMS_AMADOR_ROSEGLEN_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137172,NULL,NULL,NULL,
DMS_AMADOR_ROSEGLEN_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,139418,NULL,NULL,NULL,NULL,
DMS_AMADOR_VELMA_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,137187,NULL,NULL,NULL,
DMS_ANAVER_12KV_NORTH_BUS_VOLT,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,77938,NULL,NULL,NULL,
DMS_ANAVER_12KV_SOUTH_BUS_VOLT,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,77937,NULL,NULL,NULL,
DMS_ANAVER_ACROBAT_CB,StateQ,NULL,NULL,SCEOIS,NULL,NULL,80304,NULL,NULL,NULL,NULL,
DMS_ANAVER_ACROBAT_IB,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,77913,NULL,NULL,NULL,
DMS_ANAVER_ACROBAT_MVAR,RealQ,NULL,NULL,SCEOIS,NULL,NULL,NULL,77916,NULL,NULL,NULL,
DMS_ANAVER_ACROBAT_REC,StateQ,NULL,NULL,SCEOIS,NULL,NULL,80305,NULL,NULL,NULL,NULL,
